HTC U11 (Solar,4.6,53990,6GB,128GB,Qualcomm Snapdragon 835,16MP,12MP + UltraPixel 2,Single SIM,No,\static\60k\htc-u11-na-original-.jpeg
Huawei P30 Pro,4.6,59690,8GB,128GB/256GB/512GB,Kirin 980,32MP,40MP + 20MP + 8MP,Dual SIM,No,\static\60k\huawei-8-p30-original-.jpeg
Samsung Galaxy Note,4.6,59900,6GB,64GB/128GB/256GB,Exynos 8895,8MP,12MP + 12MP,Hybrid Dual SIM,Yes,\static\60k\samsung-galaxy-note.webp
Samsung Galaxy S10,4.6,52990,8GB/12GB,128GB/256GB/512GB,Exynos 9820,10MP,12MP + 12MP + 16MP,Hybrid Dual SIM,No,\static\60k\samsung-galaxy-s10-sm-original-.jpeg
Samsung Galaxy S8,4.6,53990,4GB/6GB,64GB/128GB/256GB,Exynos 8895,8MP,12MP + 12MP,Hybrid Dual SIM,Yes,\static\60k\samsung-galaxy-s8-sm-original-.jpeg
LG G7 ThinQ,4.4,53000,4GB/6GB,64GB/128GB,Qualcomm Snapdragon 845,8MP,16MP + 16MP,Single SIM,No,\static\60k\lg-g7-thinq-original-.jpeg
"LG G8X (Black,",4.4,54990,6GB,128GB,Qualcomm Snapdragon 855,32MP,12MP + 13MP,Single SIM,No,\static\60k\lg-g8x-original-.jpeg
Asus ROG Phone,4.3,57999,8GB,128GB/256GB,Qualcomm Snapdragon 845,8MP,12MP + 8MP,Dual SIM,No,\static\60k\asus-10z-5g.webp
Mi 10 (Coral,4.3,54999,8GB/12GB,128GB/256GB,Qualcomm Snapdragon 865,20MP,108MP + 13MP + 2MP + 2MP,Dual SIM,No,\static\60k\mi-10-original-.jpeg
Mi 10 (Twilight,4.3,54999,8GB/12GB,128GB/256GB,Qualcomm Snapdragon 865,20MP,108MP + 13MP + 2MP + 2MP,Dual SIM,No,\static\60k\mi-10-original- (2).jpeg
HTC 10 (Topaz,4.2,56690,4GB,32GB/64GB,Qualcomm Snapdragon 820,5MP,12MP,Hybrid Dual SIM,Yes,\static\60k\htc-10-na-original-.jpeg
